Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,55,6,F:System.Windows.Forms.AutoScaleMode.Font,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,55,6,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,55,6,P:System.Windows.Forms.ContainerControl.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,54,6,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"this.AutoScaleDimensions = new System.Drawing.SizeF(6F, 13F);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,50,6,T:System.Windows.Forms.RichTextBox,,,,,"this.rtbErrorMsg.Text = """";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,50,6,P:System.Windows.Forms.RichTextBox.Text,,,,,"this.rtbErrorMsg.Text = """";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,49,6,T:System.Windows.Forms.RichTextBox,,,,,this.rtbErrorMsg.TabIndex = 2;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,49,6,P:System.Windows.Forms.Control.TabIndex,,,,,this.rtbErrorMsg.TabIndex = 2;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,48,6,T:System.Windows.Forms.RichTextBox,,,,,"this.rtbErrorMsg.Size = new System.Drawing.Size(429, 208);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,48,6,P:System.Windows.Forms.Control.Size,,,,,"this.rtbErrorMsg.Size = new System.Drawing.Size(429, 208);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,47,6,T:System.Windows.Forms.RichTextBox,,,,,"this.rtbErrorMsg.Name = ""rtbErrorMsg"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,47,6,P:System.Windows.Forms.Control.Name,,,,,"this.rtbErrorMsg.Name = ""rtbErrorMsg"";"
